IND_TP_CD,DATA_DATE,IDX_OPPR,IDX_HIPR,IDX_LOPR,IDX_CLPR,IDX_YDAY_CMPR_AMT,YDAY_CMPR_SECT,VOLM,TR_AMT,STK_CNT,AVLS,CAP_AMT1,FRMN_HOLD_STK_CNT,FRMN_HOLD_AVLS,MRTR_ITEM_CNT,CRDT_ENBL_ITEM_VOLM,CRDT_DATA_DATE,LEND_NEW_STKQ,LEND_NEW_AMT,LEND_RMBR_STKQ,LEND_RMBR_AMT,LEND_BALAN_STKQ,LEND_BALAN_AMT,STLOAN_RMBR_AMT,STLOAN_RMBR_STKQ,STLOAN_NEW_AMT,STLOAN_NEW_STKQ,STLOAN_BALAN_AMT,STLOAN_BALAN_STKQ,FRWDELVY_MTR_QTY,FRWDELVY_STK_AVG_PRC,RISE_ITEM_VOLM,DPRICE_ITEM_VOLM,FACE_ADJ_VOLM,SAME_FACE_STK_CNT,CLPR_AVG,ALL_ITEM_CNT,CO_CNT,TR_TYPE_TYPE_ITEM_CNT,RISE_ITEM_CNT,DPRICE_ITEM_CNT,STNR_ITEM_CNT,TOP_ITEM_CNT,BTM_ITEM_CNT,YYW_MXPR_ITEM_CNT,YYW_MNPR_ITEM_CNT,D25_EMA_EXCD_ITEM_CNT,D25_EMA_FLSH_ITEM_CNT,W52_NEW_HIPR_ITEM_CNT,W52_NEW_LOPR_ITEM_CNT,DVID_YIRT
10004,20001215,617.55,617.55,617.55,617.55,7.59,5,63918579,232141,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20001215,501.93,501.93,501.93,501.93,13.94,5,75969949,988808,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20001215,464.2,464.2,464.2,464.2,5.45,5,62406416,204844,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20001218,508.55,508.55,508.55,508.55,6.62,1,102468387,752787,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20001218,630.09,630.09,630.09,630.09,12.54,1,70484879,259599,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20001218,464.18,464.18,464.18,464.18,0.02,5,52946855,184568,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20001219,455.68,455.68,455.68,455.68,8.5,5,66701543,252777,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20001219,620.66,620.66,620.66,620.66,9.43,5,84000390,374574,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20001219,500.06,500.06,500.06,500.06,8.49,5,110556994,761769,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20001220,438.37,438.37,438.37,438.37,17.31,5,57159074,194003,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
