,ID,NAME
106,ECOEAKORRCICI008000,구인구직비율(%)(선행)
107,ECOEAKORRLWEM026000,"노동생산성지수(산업생산기준, 서비스업)"
108,ECOEAKORRTDBT003000,무역수지
109,ECOEATHARTDEX009000,수출[태국]
110,ECOESBRARNARG020000,금융중개 및 관련산업
111,ECOESBRARNARG038000,수출
112,ECOEWNLDRPCPP002000,생산자물가(산업재)[네덜란드]
113,ECOEACHNRLWUE001000,실업률[중국]
114,ECOEAKORRCICI013000,서비스업생산지수(도소매업제외)(2015=100)(동행)
115,ECOEAKORREAIP084000,수출출하총지수(원지수)
116,ECOEAKORRNARU026000,정보통신업(실질)
117,ECOEEFINRTDTB009000,무역수지[핀란드]
118,ECOENUSARCMPS001000,주간 원유재고
119,ECOEOAUSRTDIM009000,수입[호주]
120,ECOESBRARTDEX014000,수출국(미국)
121,ECOEWIRLRTDTB009000,무역수지[아일랜드]
122,ECOEZEUZRGVBP005000,이전소득수지
123,ECOEAJPNRNANG031000,대외거래순손익(일본_명목_SAAR)
124,ECOEEGRCRPCCP001,
125,ECOEFZAFRNAGG002000,GDP(SAAR)[남아공]
126,ECOENUSARREBK012000,심각한회수불량율(90일이상연체혹은조기집행회수)
127,ECOESBRARGVBP011000,이전소득수지
128,ECOEWCHERTDEX009000,수출[스위스]
129,ECOEACHNREAIP001000,산업생산 증가율[중국]
130,ECOEAJPNRLWUE003000,실업자[일본]
131,ECOENCANRCMOS001000,석유생산량[캐나다]
132,ECOENUSARREBK009000,모기지연체율(60-89일연체_NSA)
133,ECOESBRARGVRC001000,세금총액
134,ECOESBRARNARG029000,무역수지
135,ECOESBRARPCCP008000,교통
136,ECOEWCHERTDTB009000,무역수지[스위스]
137,ECOEWFRARTDEX009000,수출[프랑스]
138,ECOEWGBRRTDEX009000,수출[영국]
139,ECOFAKORRFDER001000,달러원(USDKRW)
140,ECOEAKORREAIP088000,제조업평균가동률지수(계절조정)
141,ECOEATHARLWUE001000,실업률[태국_NSA]
142,ECOEESVKRPCCP001000,소비자물가[슬로바키아]
143,ECOESBRARNARG037000,무역수지
144,ECOEAHKGRMTMS001000,홍콩 통화량(M2)
145,ECOEAIDNRFDER001000,외환보유액
146,ECOEAJPNRNANG035000,국내총수요(일본_명목_SAAR)
147,ECOEAJPNRNARG036000,대외지출[일본](SAAR)
148,ECOEAKORREAIP094000,소매판매액총지수(경상)
149,ECOEEITAREAIP001000,산업생산[이탈리아](NSA)
150,ECOEFZAFRTDTB009000,무역수지[남아공]
151,ECOESBRARGVBP008000,본원소득수지[브라질]
152,ECOESBRARNARG033000,가계소비
153,ECOESBRARPCCP010000,개인지출
154,ECOEWESPRFDER001000,외환보유액
155,ECOEAINDRTDTB009000,무역수지[인도]
156,ECOEAJPNRNANG036000,개인수요(일본_명목_SAAR)
157,ECOEAJPNRNARG018000,국내총수요[일본](NSA)
158,ECOEAKORREAIP063000,서비스업생산총지수(불변)
159,ECOEAKORRNANG006000,정부(명목)
160,ECOEEAUTREAIP001000,산업생산[오스트리아]
161,ECOEEAUTRTDIM009000,수입[오스트리아]
162,ECOENUSAREAIP008000,반도체장비BB율[미국]
163,ECOENUSARPCPP001000,PPI(계절조정)[미국]
164,ECOESBRARNARG015000,전기 가스 수도
165,ECOEWESPRNARG001000,실질GDP[스페인]
166,ECOEWLUXRLWUE001000,실업률[룩셈부르크_NSA]
167,ECOEAJPNRNANG027000,공공재고(일본_명목_SAAR)
168,ECOEAKORRNANG023000,운수 및 보관업(명목)
169,ECOEESVKREAIP001000,산업생산[슬로바키아]
170,ECOENUSARLWUE004000,비농업부문고용자수[미국]
171,ECOEWCHERFDER001000,외환보유액(금제외)
172,ECOEZEUZRCSCC001000,소비자신뢰지수(EURO17개국)
173,ECOEACHNRFDER001000,외환보유액[중국](전체)
174,ECOEAKORREAIP116000,건설기성총액(경상)
175,ECOEAKORRNANG008000,총고정자본형성(명목)
176,ECOEEFINRLWUE001000,실업률[핀란드_NSA]
177,ECOENUSAREAMF017000,비국방내구재수주[미국]
178,ECOESBRARDGPT003000,5-9세
179,ECOEWESPRTDEX009000,수출[스페인]
180,ECOEWNLDRLWUE001000,실업률(NSA)[네덜란드]
181,ECOEZEUZRCSCC006000,산업신뢰지수(EURO27개국)
182,ECOFAKORRFDZZ008000,주식형
183,ECOEACHNREAPM002000,비제조업 PMI[중국]
184,ECOEAIDNRTDIM009000,수입[인도네시아]
185,ECOEAKORRLWUE004000,취업자[구직기간4주]
186,ECOEAKORRNARU016000,국내총생산(시장가격)(실질)
187,ECOEEAUTRFDER002000,외환보유액(금제외)
188,ECOEWBELRLWUE002000,실업률(SA)[벨기에]
189,ECOEZEUZRPSRS001000,소매판매[Euro-Zone]
190,ECOEZEUZREZPM001000,유로존 pmi
191,ECOFAKORRFDBD002000,국고채3년(금투협)
192,ECOFAKORRFDZZ001000,고객예탁금
193,ECOEEAUTRTDTB009000,무역수지[오스트리아]
194,ECOEFZAFREAIP001000,산업생산[남아공]
195,ECOENUSAREAMF008000,상품가격지수[미국]
196,ECOENUSARPCCP002000,CPI(원지수)[미국]
197,ECOESBRARMTMS003000,M3
